sku,name,configurable_products,color,description,short_description,price,image,thumbnail,small_image,configurable_option,configurable_option_value,category_ids,store,websites,attribute_set,type,status,tax_class_id,visibility,has_options,weight,is_in_stock,qty
5429,White Ruffle Tutu Bodysuit,"5429-6M,5429-12M,5429-18M,5429-24M",White,White Ruffle Tutu Bodysuit,White Ruffle Tutu Bodysuit,22,/5429.jpg,/5429.jpg,/5429.jpg,[attribute_code::frenchie_size][label::Size][position::0],[label::][attribute_code::frenchie_size][is_percent::0][pricing_value::],"35, 88, 56",admin,base,Default,configurable,Enabled,Taxable Goods,"Catalog, Search",1,1,1,9999
5478,"Yellow Jeggings
","5478-6M,5478-9M,5478-12M,5478-18M,5478-2T,5478-3T,5478-4T,5478-5Y",Yellow,"Yellow Jeggings
","Yellow Jeggings
",18,/5478.jpg,/5478.jpg,/5478.jpg,[attribute_code::frenchie_size][label::Size][position::0],[label::][attribute_code::frenchie_size][is_percent::0][pricing_value::],"35, 88, 95, 37, 117",admin,base,Default,configurable,Enabled,Taxable Goods,"Catalog, Search",1,1,1,9999
5503,Dark blue denim dress with light blue collar and waist,"5503-2T,5503-3T,5503-4T,5503-5Y,5503-6Y,5503-7Y,5503-8Y",Denim,Dark blue denim dress with light blue collar and waist,Dark blue denim dress with light blue collar and waist,35,/5503.jpg,/5503.jpg,/5503.jpg,[attribute_code::frenchie_size][label::Size][position::0],[label::][attribute_code::frenchie_size][is_percent::0][pricing_value::],"37, 65",admin,base,Default,configurable,Enabled,Taxable Goods,"Catalog, Search",1,1,1,9999
6506,Red and blue check shortsleeve shirt,"6506-6M,6506-9M,6506-12M,6506-18M,6506-2T,6506-3T,6506-4T,6506-5Y,6506-6Y,6506-7Y,6506-8Y",Red / Blue,Red and blue check shortsleeve shirt,Red and blue check shortsleeve shirt,32,/6506.jpg,/6506.jpg,/6506.jpg,[attribute_code::frenchie_size][label::Size][position::0],[label::][attribute_code::frenchie_size][is_percent::0][pricing_value::],"10, 43",admin,base,Default,configurable,Enabled,Taxable Goods,"Catalog, Search",1,1,1,9999
7497,Blue and Green large check short sleeve shirt,"7497-2T,7497-3T,7497-4T,7497-5Y,7497-6Y,7497-7Y,7497-8Y",Blue / Green,Blue and Green large check short sleeve shirt,Blue and Green large check short sleeve shirt,32,/7497.jpg,/7497.jpg,/7497.jpg,[attribute_code::frenchie_size][label::Size][position::0],[label::][attribute_code::frenchie_size][is_percent::0][pricing_value::],"10, 43",admin,base,Default,configurable,Enabled,Taxable Goods,"Catalog, Search",1,1,1,9999
7830,Orange and blue check shirt,"7830-18M,7830-2T,7830-3T,7830-4T,7830-5Y,7830-6Y,7830-7Y,7830-8Y,7830S/S-18M,7830S/S-2T,7830S/S-3T,7830S/S-4T,7830S/S-5Y,7830S/S-6Y,7830S/S-7Y,7830S/S-8Y",Orange/Blue,Orange and blue check shirt,Orange and blue check shirt,32,/7830.jpg,/7830.jpg,/7830.jpg,[attribute_code::frenchie_size][label::Size][position::0],[label::][attribute_code::frenchie_size][is_percent::0][pricing_value::],"10, 43",admin,base,Default,configurable,Enabled,Taxable Goods,"Catalog, Search",1,1,1,9999
7831,Blue Swiss Dot shirt,"7831-2T,7831-3T,7831-4T,7831-5Y,7831-6Y,7831-7Y,7831-8Y,7831B-6M,7831B-9M,7831B-12M,7831B-18M",Blue,Blue Swiss Dot shirt,Blue Swiss Dot shirt,32,/7831.jpg,/7831.jpg,/7831.jpg,[attribute_code::frenchie_size][label::Size][position::0],[label::][attribute_code::frenchie_size][is_percent::0][pricing_value::],"10, 43",admin,base,Default,configurable,Enabled,Taxable Goods,"Catalog, Search",1,1,1,9999
7837,Grey Henley t-shirt,"7837-6M,7837-9M,7837-12M,7837-18M,7837-2T,7837-3T,7837-4T,7837-5Y,7837-6Y,7837-7Y,7837-8Y",Grey,Grey Henley t-shirt,Grey Henley t-shirt,20,/7837.jpg,/7837.jpg,/7837.jpg,[attribute_code::frenchie_size][label::Size][position::0],[label::][attribute_code::frenchie_size][is_percent::0][pricing_value::],"35, 52, 87, 10, 43",admin,base,Default,configurable,Enabled,Taxable Goods,"Catalog, Search",1,1,1,9999
7838,Green Henley t-shirt,"7838-6M,7838-9M,7838-12M,7838-18M,7838-2T,7838-3T,7838-4T,7838-5Y,7838-6Y,7838-7Y,7838-8Y",Geen,Green Henley t-shirt,Green Henley t-shirt,20,/7838.jpg,/7838.jpg,/7838.jpg,[attribute_code::frenchie_size][label::Size][position::0],[label::][attribute_code::frenchie_size][is_percent::0][pricing_value::],"35, 52, 87, 10, 43",admin,base,Default,configurable,Enabled,Taxable Goods,"Catalog, Search",1,1,1,9999
7839,Lt Blue Henley t-shirt,"7839-6M,7839-9M,7839-12M,7839-18M,7839-2T,7839-3T,7839-4T,7839-5Y,7839-6Y,7839-7Y,7839-8Y",Lt. Blue,Lt Blue Henley t-shirt,Lt Blue Henley t-shirt,20,/7839.jpg,/7839.jpg,/7839.jpg,[attribute_code::frenchie_size][label::Size][position::0],[label::][attribute_code::frenchie_size][is_percent::0][pricing_value::],"35, 52, 87, 10, 43",admin,base,Default,configurable,Enabled,Taxable Goods,"Catalog, Search",1,1,1,9999
